model,P_SUM,U_L1_N,I_SUM,H_TDH_I_L3_N,F,ReacEc_L1,C_phi_L3,ReacEc_L3,RealE_SUM,H_TDH_U_L2_N
BiLSTM_128_40_15secs,0.094192,0.052008,0.093370,0.052884,0.045474,0.037434,0.073661,0.139245,0.328831,0.035339
AttentionBiLSTM_128_40_15secs,0.079294,0.056622,0.069188,0.048586,0.040948,0.034638,0.056547,0.156989,0.983329,0.031757
BiGRU_128_40_15secs,0.098574,0.041603,0.093148,0.058123,0.042658,0.041966,0.078968,0.148485,0.272191,0.033187
BiLSTM_128_50_15secs,0.088483,0.042477,0.090972,0.050709,0.046219,0.038949,0.081529,0.173393,0.339654,0.031256
AttentionBiLSTM_128_50_15secs,0.071568,0.048618,0.065400,0.048561,0.041045,0.037366,0.056747,0.162522,0.983329,0.031446
BiGRU_128_50_15secs,0.083811,0.043723,0.096869,0.049981,0.046159,0.042638,0.080526,0.185513,0.282955,0.032692
BiLSTM_256_10_15secs,0.079786,0.033583,0.075866,0.051402,0.045856,0.026465,0.074546,0.081235,0.202835,0.036392
AttentionBiLSTM_256_10_15secs,0.108210,0.053802,0.065150,0.049237,0.040851,0.036865,0.065931,0.077010,0.983329,0.032119
BiGRU_256_10_15secs,0.082137,0.032347,0.081609,0.061372,0.048202,0.012692,0.079625,0.159969,0.265997,0.034688
BiLSTM_256_20_15secs,0.079014,0.035124,0.079234,0.049656,0.044915,0.025717,0.076225,0.114526,0.302648,0.042130
AttentionBiLSTM_256_20_15secs,0.135876,0.053725,0.069455,0.048940,0.041654,0.036891,0.065236,0.079940,0.983329,0.031441
BiGRU_256_20_15secs,0.083735,0.036130,0.087896,0.055815,0.044602,0.032218,0.085981,0.118599,0.307747,0.038651
BiLSTM_256_30_15secs,0.092971,0.038650,0.082546,0.049526,0.045223,0.029257,0.077506,0.128223,0.312241,0.036725
AttentionBiLSTM_256_30_15secs,0.111221,0.054273,0.067592,0.051008,0.041041,0.036718,0.056302,0.092799,0.983329,0.031572
BiGRU_256_30_15secs,0.087411,0.035727,0.100670,0.063773,0.045602,0.022316,0.084856,0.155551,0.262683,0.033450
BiLSTM_256_40_15secs,0.092792,0.040712,0.080949,0.050601,0.043152,0.043308,0.081822,0.148484,0.298603,0.037467
AutoSKLearn,0.06321,0.03096,0.05785,0.03461,0.03956,0.01423,0.04443,0.00476,0.04431,0.03043
AutoKeras,0.144370,0.031636,0.069731,0.050411,0.041842,0.098168,0.052167,0.188699,0.340505,0.032307
